KO,Label,Entrez_hsa,Name,EC
K00086,dhaT,-1,"1,3-propanediol dehydrogenase ",1.1.1.202
K00087,"ygeS, xdhA",-1,xanthine dehydrogenase molybdenum-binding subunit ,1.17.1.4
K00088,"IMPDH, guaB",3614,IMP dehydrogenase ,1.1.1.205
K00088,"IMPDH, guaB",3615,IMP dehydrogenase ,1.1.1.205
K00089,AKR1C2,1646,3alpha-hydroxysteroid 3-dehydrogenase ,1.1.1.213 1.1.1.357
K00090,ghrB,-1,glyoxylate/hydroxypyruvate/2-ketogluconate reductase ,1.1.1.79 1.1.1.81 1.1.1.215
K00091,E1.1.1.219,-1,dihydroflavonol-4-reductase ,1.1.1.219
K00093,mdh,-1,methanol dehydrogenase ,1.1.1.244
K00094,"E1.1.1.251, gatD",-1,galactitol-1-phosphate 5-dehydrogenase ,1.1.1.251
K00095,MTD,-1,mannitol dehydrogenase ,1.1.1.255
K00096,"araM, egsA",-1,glycerol-1-phosphate dehydrogenase [NAD(P)+] ,1.1.1.261
K00097,pdxA,-1,4-hydroxythreonine-4-phosphate dehydrogenase ,1.1.1.262
K00098,idnD,-1,L-idonate 5-dehydrogenase ,1.1.1.264
K00099,dxr,-1,1-deoxy-D-xylulose-5-phosphate reductoisomerase ,1.1.1.267
K00100,bdhAB,-1,butanol dehydrogenase ,1.1.1.-
K00101,lldD,-1,L-lactate dehydrogenase (cytochrome) ,1.1.2.3
K00102,"LDHD, dld",197257,D-lactate dehydrogenase (cytochrome) ,1.1.2.4
K00103,GULO,-1,L-gulonolactone oxidase ,1.1.3.8
K00104,glcD,-1,glycolate oxidase ,1.1.3.15
K00105,E1.1.3.21,-1,alpha-glycerophosphate oxidase ,1.1.3.21
K00106,XDH,7498,xanthine dehydrogenase/oxidase ,1.17.1.4 1.17.3.2
K00107,ALO,-1,"D-arabinono-1,4-lactone oxidase ",1.1.3.37
K00108,"betA, CHDH",55349,choline dehydrogenase ,1.1.99.1
K00109,L2HGDH,79944,2-hydroxyglutarate dehydrogenase ,1.1.99.2
K00111,"glpA, glpD",2820,glycerol-3-phosphate dehydrogenase ,1.1.5.3
K00112,glpB,-1,glycerol-3-phosphate dehydrogenase subunit B ,1.1.5.3
K00113,glpC,-1,glycerol-3-phosphate dehydrogenase subunit C,"NA"
K00114,exaA,-1,alcohol dehydrogenase (cytochrome c) ,1.1.2.8
K00115,GLD,-1,"glucose 1-dehydrogenase (FAD, quinone) ",1.1.5.9
K00116,mqo,-1,malate dehydrogenase (quinone) ,1.1.5.4
K00117,gcd,-1,quinoprotein glucose dehydrogenase ,1.1.5.2
K00118,gfo,-1,glucose-fructose oxidoreductase ,1.1.99.28
K00119,E1.1.99.36,-1,alcohol dehydrogenase (nicotinoprotein) ,1.1.99.36
K00120,fgd2,-1,F420-dependent hydroxymycolic acid dehydrogenase ,1.1.98.-
K00121,"frmA, ADH5, adhC",128,S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase ,1.1.1.284 1.1.1.1
K00122,FDH,-1,formate dehydrogenase ,1.17.1.9
K00123,"fdoG, fdhF, fdwA",-1,formate dehydrogenase major subunit ,1.17.1.9
K00124,"fdoH, fdsB",-1,formate dehydrogenase iron-sulfur subunit,"NA"
K00125,fdhB,-1,formate dehydrogenase (coenzyme F420) beta subunit ,1.17.98.3 1.8.98.6
K00126,fdsD,-1,formate dehydrogenase subunit delta ,1.17.1.9
K00127,"fdoI, fdsG",-1,formate dehydrogenase subunit gamma,"NA"
K00128,ALDH,217,aldehyde dehydrogenase (NAD+) ,1.2.1.3
K00128,ALDH,224,aldehyde dehydrogenase (NAD+) ,1.2.1.3
K00128,ALDH,219,aldehyde dehydrogenase (NAD+) ,1.2.1.3
K00129,ALDH3,221,aldehyde dehydrogenase (NAD(P)+) ,1.2.1.5
K00129,ALDH3,222,aldehyde dehydrogenase (NAD(P)+) ,1.2.1.5
K00129,ALDH3,218,aldehyde dehydrogenase (NAD(P)+) ,1.2.1.5
K00130,"betB, gbsA",-1,betaine-aldehyde dehydrogenase ,1.2.1.8
K00131,gapN,-1,glyceraldehyde-3-phosphate dehydrogenase (NADP+) ,1.2.1.9
K00132,E1.2.1.10,-1,acetaldehyde dehydrogenase (acetylating) ,1.2.1.10
K00133,asd,-1,aspartate-semialdehyde dehydrogenase ,1.2.1.11
K00134,"GAPDH, gapA",2597,glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) ,1.2.1.12
K00135,gabD,-1,succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase ,1.2.1.16 1.2.1.79 1.2.1.20
K00137,prr,-1,aminobutyraldehyde dehydrogenase ,1.2.1.19
K00138,aldB,-1,aldehyde dehydrogenase ,1.2.1.-
K00139,ALDH5A1,7915,succinate-semialdehyde dehydrogenase ,1.2.1.24
K00140,"mmsA, iolA, ALDH6A1",4329,malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase ,1.2.1.18 1.2.1.27
K00141,xylC,-1,benzaldehyde dehydrogenase (NAD) ,1.2.1.28
K00142,AASDH,132949,acyl-CoA synthetase ,6.2.1.-
K00143,LYS2,-1,L-2-aminoadipate reductase ,1.2.1.95
K00145,argC,-1,N-acetyl-gamma-glutamyl-phosphate reductase ,1.2.1.38
K00146,"feaB, tynC",-1,phenylacetaldehyde dehydrogenase ,1.2.1.39
K00147,proA,-1,glutamate-5-semialdehyde dehydrogenase ,1.2.1.41
K00148,fdhA,-1,glutathione-independent formaldehyde dehydrogenase ,1.2.1.46
K00149,ALDH9A1,223,aldehyde dehydrogenase family 9 member A1 ,1.2.1.47 1.2.1.3
K00150,gap2,-1,glyceraldehyde-3-phosphate dehydrogenase (NAD(P)) ,1.2.1.59
K00151,"hpaE, hpcC",-1,5-carboxymethyl-2-hydroxymuconic-semialdehyde dehydrogenase ,1.2.1.60
K00152,nahF,-1,salicylaldehyde dehydrogenase ,1.2.1.65
K00153,E1.1.1.306,-1,S-(hydroxymethyl)mycothiol dehydrogenase ,1.1.1.306
K00154,E1.2.1.68,-1,coniferyl-aldehyde dehydrogenase ,1.2.1.68
K00155,"LNAA, LNBA",-1,L-tyrosine reductase ,1.2.1.101
K00156,poxB,-1,pyruvate dehydrogenase (quinone) ,1.2.5.1
K00157,AOX,316,aldehyde oxidase ,1.2.3.1
K00158,"E1.2.3.3, poxL",-1,pyruvate oxidase ,1.2.3.3
K00161,"PDHA, pdhA",5161,pyruvate dehydrogenase E1 component alpha subunit ,1.2.4.1
K00161,"PDHA, pdhA",5160,pyruvate dehydrogenase E1 component alpha subunit ,1.2.4.1
K00162,"PDHB, pdhB",5162,pyruvate dehydrogenase E1 component beta subunit ,1.2.4.1
K00163,aceE,-1,pyruvate dehydrogenase E1 component ,1.2.4.1
K00164,"OGDH, sucA",55753,2-oxoglutarate dehydrogenase E1 component ,1.2.4.2
K00164,"OGDH, sucA",4967,2-oxoglutarate dehydrogenase E1 component ,1.2.4.2
K00166,"BCKDHA, bkdA1",593,2-oxoisovalerate dehydrogenase E1 component alpha subunit ,1.2.4.4
K00167,"BCKDHB, bkdA2",594,2-oxoisovalerate dehydrogenase E1 component beta subunit ,1.2.4.4
K00169,porA,-1,pyruvate ferredoxin oxidoreductase alpha subunit ,1.2.7.1
K00170,porB,-1,pyruvate ferredoxin oxidoreductase beta subunit ,1.2.7.1
K00171,porD,-1,pyruvate ferredoxin oxidoreductase delta subunit ,1.2.7.1
K00172,"porC, porG",-1,pyruvate ferredoxin oxidoreductase gamma subunit ,1.2.7.1
K00174,"korA, oorA, oforA",-1,2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha ,1.2.7.3 1.2.7.11
K00175,"korB, oorB, oforB",-1,2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta ,1.2.7.3 1.2.7.11
K00176,"korD, oorD",-1,2-oxoglutarate ferredoxin oxidoreductase subunit delta ,1.2.7.3
K00177,"korC, oorC",-1,2-oxoglutarate ferredoxin oxidoreductase subunit gamma ,1.2.7.3
K00179,iorA,-1,"indolepyruvate ferredoxin oxidoreductase, alpha subunit ",1.2.7.8
K00180,iorB,-1,"indolepyruvate ferredoxin oxidoreductase, beta subunit ",1.2.7.8
K00181,PORCN,64840,O-palmitoleoyl transferase ,2.3.1.250
K00182,WNT2,7472,"wingless-type MMTV integration site family, member 2","NA"
K00182,WNT2,7482,"wingless-type MMTV integration site family, member 2","NA"
K00184,dmsB,-1,dimethyl sulfoxide reductase iron-sulfur subunit,"NA"
K00185,dmsC,-1,dimethyl sulfoxide reductase membrane subunit,"NA"
K00186,vorA,-1,2-oxoisovalerate ferredoxin oxidoreductase alpha subunit ,1.2.7.7
K00187,vorB,-1,2-oxoisovalerate ferredoxin oxidoreductase beta subunit ,1.2.7.7
K00188,vorD,-1,2-oxoisovalerate ferredoxin oxidoreductase delta subunit ,1.2.7.7
K00189,"vorG, porG",-1,2-oxoisovalerate/pyruvate ferredoxin oxidoreductase gamma subunit ,1.2.7.7 1.2.7.1
K00192,cdhA,-1,"anaerobic carbon-monoxide dehydrogenase, CODH/ACS complex subunit alpha ",1.2.7.4
K00193,cdhC,-1,"acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit beta ",2.3.1.169
K00194,"cdhD, acsD",-1,"acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit delta ",2.1.1.245
K00195,cdhB,-1,"anaerobic carbon-monoxide dehydrogenase, CODH/ACS complex subunit epsilon","NA"
K00196,cooF,-1,anaerobic carbon-monoxide dehydrogenase iron sulfur subunit,"NA"
K00197,"cdhE, acsC",-1,"acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit gamma ",2.1.1.245
K00198,"cooS, acsA",-1,anaerobic carbon-monoxide dehydrogenase catalytic subunit ,1.2.7.4
K00200,"fwdA, fmdA",-1,formylmethanofuran dehydrogenase subunit A ,1.2.7.12
K00201,"fwdB, fmdB",-1,formylmethanofuran dehydrogenase subunit B ,1.2.7.12
K00202,"fwdC, fmdC",-1,formylmethanofuran dehydrogenase subunit C ,1.2.7.12
K00203,"fwdD, fmdD",-1,formylmethanofuran dehydrogenase subunit D ,1.2.7.12
K00204,fwdH,-1,4Fe-4S ferredoxin,"NA"
K00205,"fwdF, fmdF",-1,4Fe-4S ferredoxin,"NA"
K00206,phnY,-1,phosphonoacetaldehyde dehydrogenase ,1.2.1.-
K00207,DPYD,1806,dihydropyrimidine dehydrogenase (NADP+) ,1.3.1.2
K00208,fabI,-1,enoyl-[acyl-carrier protein] reductase I ,1.3.1.9 1.3.1.10
K00209,"fabV, ter",-1,enoyl-[acyl-carrier protein] reductase / trans-2-enoyl-CoA reductase (NAD+) ,1.3.1.9 1.3.1.44
K00211,TYR1,-1,prephenate dehydrogenase (NADP+) ,1.3.1.13
K00212,AKR1C1,1645,20alpha/3alpha-hydroxysteroid dehydrogenase / dihydrodiol dehydrogenase ,1.1.1.149 1.1.1.357 1.3.1.20
K00213,DHCR7,1717,7-dehydrocholesterol reductase ,1.3.1.21
K00214,"BLVRA, bvdR",644,biliverdin reductase ,1.3.1.24
K00215,dapB,-1,4-hydroxy-tetrahydrodipicolinate reductase ,1.17.1.8
K00216,entA,-1,"2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase ",1.3.1.28
K00217,E1.3.1.32,-1,maleylacetate reductase ,1.3.1.32
K00218,por,-1,protochlorophyllide reductase ,1.3.1.33
K00219,fadH,-1,"2,4-dienoyl-CoA reductase (NADPH2) ",1.3.1.34
K00220,tyrC,-1,cyclohexadieny/prephenate dehydrogenase ,1.3.1.43 1.3.1.12
K00221,E4.99.1.2,-1,alkylmercury lyase ,4.99.1.2
K00222,"TM7SF2, ERG24",7108,Delta14-sterol reductase ,1.3.1.70
K00223,ERG4,-1,Delta24(24(1))-sterol reductase ,1.3.1.71
K00224,CEQORH,-1,chloroplastic oxoene reductase ,1.3.1.-
K00225,GLDH,-1,"L-galactono-1,4-lactone dehydrogenase ",1.3.2.3
K00226,pyrD,-1,dihydroorotate dehydrogenase (fumarate) ,1.3.98.1
K00227,"SC5DL, ERG3",6309,Delta7-sterol 5-desaturase ,1.14.19.20
K00228,"CPOX, hemF",1371,coproporphyrinogen III oxidase ,1.3.3.3
K00230,hemG,-1,menaquinone-dependent protoporphyrinogen oxidase ,1.3.5.3
K00231,"PPOX, hemY",5498,protoporphyrinogen/coproporphyrinogen III oxidase ,1.3.3.4 1.3.3.15
K00232,"E1.3.3.6, ACOX1, ACOX3",8310,acyl-CoA oxidase ,1.3.3.6
K00232,"E1.3.3.6, ACOX1, ACOX3",51,acyl-CoA oxidase ,1.3.3.6
K00234,"SDHA, SDH1",6389,succinate dehydrogenase (ubiquinone) flavoprotein subunit ,1.3.5.1
K00235,"SDHB, SDH2",6390,succinate dehydrogenase (ubiquinone) iron-sulfur subunit ,1.3.5.1
K00236,"SDHC, SDH3",6391,succinate dehydrogenase (ubiquinone) cytochrome b560 subunit,"NA"
K00237,"SDHD, SDH4",6392,succinate dehydrogenase (ubiquinone) membrane anchor subunit,"NA"
K00239,"sdhA, frdA",-1,"succinate dehydrogenase / fumarate reductase, flavoprotein subunit ",1.3.5.1 1.3.5.4
K00240,"sdhB, frdB",-1,"succinate dehydrogenase / fumarate reductase, iron-sulfur subunit ",1.3.5.1 1.3.5.4
K00241,"sdhC, frdC",-1,"succinate dehydrogenase / fumarate reductase, cytochrome b subunit","NA"
K00242,"sdhD, frdD",-1,"succinate dehydrogenase / fumarate reductase, membrane anchor subunit","NA"
K00243,K00243,-1,uncharacterized protein,"NA"
K00244,frdA,-1,fumarate reductase flavoprotein subunit ,1.3.5.4
K00245,frdB,-1,fumarate reductase iron-sulfur subunit ,1.3.5.4
K00246,frdC,-1,fumarate reductase subunit C,"NA"
K00247,frdD,-1,fumarate reductase subunit D,"NA"
K00248,"ACADS, bcd",35,butyryl-CoA dehydrogenase ,1.3.8.1
K00249,"ACADM, acd",34,acyl-CoA dehydrogenase ,1.3.8.7
K00251,AKR1D1,6718,3-oxo-5-beta-steroid 4-dehydrogenase ,1.3.1.3
K00252,"GCDH, gcdH",2639,glutaryl-CoA dehydrogenase ,1.3.8.6
K00253,"IVD, ivd",3712,isovaleryl-CoA dehydrogenase ,1.3.8.4
K00254,"DHODH, pyrD",1723,dihydroorotate dehydrogenase ,1.3.5.2
K00255,ACADL,33,long-chain-acyl-CoA dehydrogenase ,1.3.8.8
K00257,"mbtN, fadE14",-1,acyl-ACP dehydrogenase ,1.3.99.-
K00258,SWNR,-1,swainsonine biosynthesis oxidoreductase SwnR ,1.3.1.-
K00259,ald,-1,alanine dehydrogenase ,1.4.1.1
K00260,"gudB, rocG",-1,glutamate dehydrogenase ,1.4.1.2
K00261,"GLUD1_2, gdhA",2747,glutamate dehydrogenase (NAD(P)+) ,1.4.1.3
K00261,"GLUD1_2, gdhA",2746,glutamate dehydrogenase (NAD(P)+) ,1.4.1.3
K00262,"E1.4.1.4, gdhA",-1,glutamate dehydrogenase (NADP+) ,1.4.1.4
K00263,E1.4.1.9,-1,leucine dehydrogenase ,1.4.1.9
K00264,GLT1,-1,glutamate synthase (NADH) ,1.4.1.14
K00265,gltB,-1,glutamate synthase (NADPH) large chain ,1.4.1.13
K00266,gltD,-1,glutamate synthase (NADPH) small chain ,1.4.1.13
K00270,pdh,-1,phenylalanine dehydrogenase ,1.4.1.20
K00271,vdh,-1,valine dehydrogenase (NAD+) ,1.4.1.23
K00272,DDO,8528,D-aspartate oxidase ,1.4.3.1
K00273,"DAO, aao",1610,D-amino-acid oxidase ,1.4.3.3
K00274,"MAO, aofH",4129,monoamine oxidase ,1.4.3.4
K00274,"MAO, aofH",4128,monoamine oxidase ,1.4.3.4
K00275,"pdxH, PNPO",55163,pyridoxamine 5'-phosphate oxidase ,1.4.3.5
K00276,"AOC3, AOC2, tynA",8639,primary-amine oxidase ,1.4.3.21
K00276,"AOC3, AOC2, tynA",314,primary-amine oxidase ,1.4.3.21
K00277,LOX,4015,protein-lysine 6-oxidase ,1.4.3.13
K00278,nadB,-1,L-aspartate oxidase ,1.4.3.16
K00279,CKX,-1,cytokinin dehydrogenase ,1.5.99.12
K00280,LOXL2_3_4,4017,lysyl oxidase-like protein 2/3/4 ,1.4.3.-
K00280,LOXL2_3_4,84695,lysyl oxidase-like protein 2/3/4 ,1.4.3.-
K00280,LOXL2_3_4,84171,lysyl oxidase-like protein 2/3/4 ,1.4.3.-
K00281,"GLDC, gcvP",2731,glycine dehydrogenase ,1.4.4.2
K00282,gcvPA,-1,glycine dehydrogenase subunit 1 ,1.4.4.2
K00283,gcvPB,-1,glycine dehydrogenase subunit 2 ,1.4.4.2
K00284,"GLU, gltS",-1,glutamate synthase (ferredoxin) ,1.4.7.1
K00285,dadA,-1,D-amino-acid dehydrogenase ,1.4.5.1
K00286,proC,65263,pyrroline-5-carboxylate reductase ,1.5.1.2
K00286,proC,29920,pyrroline-5-carboxylate reductase ,1.5.1.2
K00286,proC,5831,pyrroline-5-carboxylate reductase ,1.5.1.2
K00287,"DHFR, folA",1719,dihydrofolate reductase ,1.5.1.3
K00287,"DHFR, folA",200895,dihydrofolate reductase ,1.5.1.3
K00288,MTHFD,4522,methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase / formyltetrahydrofolate synthetase ,1.5.1.5 3.5.4.9 6.3.4.3
K00289,ALDH1L,10840,formyltetrahydrofolate dehydrogenase ,1.5.1.6
K00289,ALDH1L,160428,formyltetrahydrofolate dehydrogenase ,1.5.1.6
K00290,LYS1,-1,"saccharopine dehydrogenase (NAD+, L-lysine forming) ",1.5.1.7
K00293,LYS9,-1,"saccharopine dehydrogenase (NADP+, L-glutamate forming) ",1.5.1.10
K00294,E1.2.1.88,8659,1-pyrroline-5-carboxylate dehydrogenase ,1.2.1.88
K00295,MTD1,-1,methylenetetrahydrofolate dehydrogenase (NAD+) ,1.5.1.15
K00296,nos,-1,D-nopaline dehydrogenase ,1.5.1.19
K00297,"metF, MTHFR",-1,methylenetetrahydrofolate reductase (NADH) ,1.5.1.54
K00298,ceo,-1,N5-(carboxyethyl)ornithine synthase ,1.5.1.24
K00299,"ssuE, msuE",-1,FMN reductase ,1.5.1.38
K00300,mtdA,-1,methylenetetrahydrofolate/methylenetetrahydromethanopterin dehydrogenase (NADP+) ,1.5.1.5 1.5.1.-
K00301,E1.5.3.1,-1,sarcosine oxidase ,1.5.3.1
K00302,soxA,-1,"sarcosine oxidase, subunit alpha ",1.5.3.1
K00303,soxB,-1,"sarcosine oxidase, subunit beta ",1.5.3.1
K00304,soxD,-1,"sarcosine oxidase, subunit delta ",1.5.3.1
K00305,soxG,-1,"sarcosine oxidase, subunit gamma ",1.5.3.1
K00306,PIPOX,51268,sarcosine oxidase / L-pipecolate oxidase ,1.5.3.1 1.5.3.7
K00307,BBE1,-1,reticuline oxidase ,1.21.3.3
K00308,PAOX,196743,N1-acetylpolyamine oxidase ,1.5.3.13
K00309,dmg,-1,dimethylglycine oxidase ,1.5.3.10
K00310,SE,-1,pyrimidodiazepine synthase ,1.5.4.1
K00311,ETFDH,2110,electron-transferring-flavoprotein dehydrogenase ,1.5.5.1
K00312,WNT3,7473,"wingless-type MMTV integration site family, member 3","NA"
K00312,WNT3,89780,"wingless-type MMTV integration site family, member 3","NA"
K00313,fixC,-1,electron transfer flavoprotein-quinone oxidoreductase ,1.5.5.-
K00314,SARDH,1757,sarcosine dehydrogenase ,1.5.8.3
K00315,DMGDH,29958,dimethylglycine dehydrogenase ,1.5.8.4
K00316,spdH,-1,spermidine dehydrogenase ,1.5.99.6
K00317,dmd-tmd,-1,dimethylamine/trimethylamine dehydrogenase ,1.5.8.1 1.5.8.2
K00318,"PRODH, fadM, putB",5625,proline dehydrogenase ,1.5.5.2
